ANO;nome_uc;qtde_polygons_prodes;sum_area_prodes_ha;qdte_polygons_mapbiomas_alertas;sum_area_mapbiomas_alertas_ha;qdte_firms_modis;qdte_firms_j1_viirs;qdte_firms_suomi_viirs;sum_area_total_ha;cluster;risk_level;risk_category;processado
2022;PARQUE NATURAL MUNICIPAL MORRO DO CÉU;4;16.4011141288726;2;5.08;0;0;0;21.4811141288726;0;0;baixo;
2022;PARQUE NATURAL MUNICIPAL MORRO DOS STINGHEN;3;11.8666957376307;0;0.0;0;0;0;11.8666957376307;0;0;baixo;
2022;PARQUE NATURAL MUNICIPAL RIO PIÇARRAS;6;32.6142077298414;3;19.41;0;0;0;52.02420772984139;1;1;medio;
2022;PARQUE NATURAL MUNICIPAL SERRA DE SÃO MIGUEL;1;7.654645113969701;1;1.77;0;0;0;9.424645113969701;0;0;baixo;
2022;PARQUE NATURAL MUNICIPAL XOKLENG;16;42.8023614483289;0;0.0;0;0;0;42.8023614483289;1;1;medio;
2022;REFUGIO DA VIDA SILVESTRE NASCENTES DO SAI;7;17.8451823383806;0;0.0;0;0;0;17.8451823383806;0;0;baixo;
2022;RESERVA BIOLOGICA ESTADUAL DO SASSAFRAS;3;11.6798209171499;0;0.0;1;0;0;11.6798209171499;0;0;baixo;
2022;RESERVA BIOLÓGICA ESTADUAL DO AGUAÍ;12;52.4592229415958;0;0.0;4;1;11;52.4592229415958;2;2;alto;
2022;RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL DA ILHA DO MORRO DO AMARAL;7;44.388701526311;0;0.0;0;0;0;44.388701526311;1;1;medio;
2022;RESERVA PARTICULAR DO PATRIMONIO NATURAL ESTADUAL DAS CASCATAS;2;5.6455043096736;2;2.25;0;0;0;7.8955043096736;0;0;baixo;
2022;RESERVA PARTICULAR DO PATRIMONIO NATURAL ESTADUAL RESERVA DE FONTES E VERDES;3;16.0521955679759;2;7.97;0;0;0;24.0221955679759;0;0;baixo;
2022;RESERVA PARTICULAR DO PATRIMONIO NATURAL ESTADUAL RIO DA PRATA BUGIU;0;0.0;3;2.44;2;0;0;2.44;0;0;baixo;
2022;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BARRA DO RIO DO MEIO;0;0.0;2;0.77;0;0;0;0.77;0;0;baixo;
2022;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA DA IMBUIA;9;15.6060906006136;1;5.05;1;0;2;20.6560906006136;1;1;medio;
2022;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CANTO DA ARAPONGA;1;3.4458960886483;0;0.0;0;0;0;3.4458960886483;0;0;baixo;
2022;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CAPÃO REDONDO;1;5.495040593752;0;0.0;1;0;0;5.495040593752;0;0;baixo;
